Student Count,Student Subject,Action/Emotion,School Setting,Illustration Style,Color Palette
2,"Students volunteering","Helping","Community center","Humanitarian","Warm and sincere"
1,"Student doing calligraphy","Writing","Japanese culture club","Traditional","Ink and paper"
3,"Students building model","Assembling","Science fair","Detailed","Technical and precise"
1,"Student practicing martial arts","Training","Dojo","Action-packed","Focused and strong"
2,"Students attending concert","Listening","School auditorium","Live performance","Vibrant and loud"
1,"Student learning sign language","Communicating","Special needs classroom","Inclusive","Gentle and clear"
3,"Students creating mural","Painting","School wall","Collaborative","Colorful and expressive"
1,"Student learning origami","Folding","Art club meeting","Delicate","Detailed and precise"
2,"Students visiting farm","Learning","Agricultural field trip","Rustic","Natural and earthy"
1,"Student practicing photography","Shooting","School campus","Realistic","Sharp and clear"
3,"Students building diorama","Constructing","History project","Miniature","Detailed and intricate"
1,"Student writing play","Scripting","Drama club room","Dramatic","Intense and focused"
2,"Students attending sports game","Cheering","School stadium","Energetic","Loud and proud"
1,"Student learning pottery","Shaping","Ceramics studio","Handcrafted","Textured and natural"
3,"Students creating website","Designing","Web design lab","Modern","Clean and functional"
1,"Student learning coding game","Playing","Gaming club room","Interactive","Bright and engaging"
2,"Students visiting zoo","Observing","Wildlife park","Educational","Natural and diverse"
1,"Student practicing public speaking","Speaking","Speech club room","Confident","Clear and concise"
3,"Students building bridge","Engineering","Physics lab","Technical","Precise and sturdy"
1,"Student learning animation","Animating","Animation studio","Dynamic","Fluid and vibrant"
2,"Students visiting planetarium","Learning","Astronomy center","Cosmic","Dark and luminous"
1,"Student learning graphic design","Designing","Graphic design lab","Creative","Modern and bold"
3,"Students creating sculpture","Carving","Sculpture studio","Abstract","Textured and unique"
1,"Student learning fashion design","Sketching","Fashion design lab","Stylish","Modern and chic"
2,"Students attending film festival","Watching","Cinema","Artistic","Dramatic and intense"
1,"Student learning digital art","Painting","Digital art studio","Vibrant","Colorful and expressive"
3,"Students building robot car","Racing","Technology club room","Competitive","Sleek and fast"
1,"Student learning video editing","Editing","Video editing lab","Cinematic","Dynamic and engaging"
2,"Students visiting science museum","Exploring","Interactive exhibit","Educational","Bright and engaging"
1,"Student learning 3D modeling","Designing","3D modeling lab","Technical","Precise and detailed"
3,"Students creating music video","Filming","Music video set","Creative","Dynamic and vibrant"
1,"Student learning game design","Designing","Game design lab","Interactive","Engaging and immersive"
2,"Students attending art exhibition","Viewing","Art gallery","Sophisticated","Elegant and refined"
1,"Student learning textile art","Weaving","Textile art studio","Textured","Natural and handmade"
3,"Students creating stop motion","Animating","Animation lab","Creative","Detailed and engaging"
1,"Student learning film directing","Directing","Film set","Cinematic","Dramatic and focused"
2,"Students visiting botanical garden","Learning","Greenhouse","Educational","Lush and vibrant"
1,"Student learning sound design","Designing","Sound design lab","Technical","Precise and immersive"
3,"Students creating digital sculpture","Sculpting","Digital art studio","Modern","Abstract and dynamic"
1,"Student learning motion graphics","Animating","Motion graphics lab","Dynamic","Fluid and engaging"
2,"Students attending theater performance","Watching","Theater","Dramatic","Intense and captivating"
1,"Student learning visual effects","Designing","Visual effects lab","Technical","Precise and cinematic"
3,"Students creating interactive art","Building","Interactive art lab","Creative","Engaging and immersive"
1,"Student learning character design","Sketching","Character design lab","Creative","Detailed and expressive"
2,"Students visiting historical site","Exploring","Historical landmark","Educational","Aged and historical"
1,"Student learning game programming","Coding","Game programming lab","Technical","Precise and interactive"
3,"Students creating virtual reality","Building","VR lab","Immersive","Dynamic and engaging"
1,"Student learning architectural design","Drafting","Architectural design lab","Technical","Precise and modern"
2,"Students attending dance performance","Watching","Dance studio","Graceful","Fluid and expressive"
1,"Student learning special effects makeup","Applying","Special effects makeup lab","Creative","Detailed and dramatic"
3,"Students creating interactive installation","Building","Installation art lab","Creative","Engaging and immersive"
1,"Student learning digital painting","Painting","Digital painting lab","Vibrant","Colorful and detailed"
2,"Students visiting science fair","Observing","Science fair hall","Educational","Bright and engaging"
1,"Student learning 3D printing","Operating","3D printing lab","Technical","Precise and modern"
3,"Students creating augmented reality","Building","AR lab","Immersive","Dynamic and engaging"
1,"Student learning UX design","Designing","UX design lab","Technical","Precise and user-friendly"
2,"Students attending music festival","Listening","Outdoor stage","Energetic","Loud and vibrant"
1,"Student learning data visualization","Designing","Data visualization lab","Technical","Precise and informative"
3,"Students creating digital fashion","Designing","Digital fashion lab","Creative","Modern and stylish"
